condition,layer,cka_similarity,cka_distance
no_anchor_context,0,,
no_anchor_context,1,0.9877219796180725,0.01227802038192749
no_anchor_context,2,0.9976820945739746,0.0023179054260253906
no_anchor_context,3,0.9920659065246582,0.007934093475341797
no_anchor_context,4,0.993098258972168,0.006901741027832031
no_anchor_context,5,0.9981892108917236,0.0018107891082763672
no_anchor_context,6,0.9973948001861572,0.0026051998138427734
no_anchor_context,7,0.9964965581893921,0.00350344181060791
no_anchor_context,8,0.9966820478439331,0.0033179521560668945
no_anchor_context,9,0.9942050576210022,0.005794942378997803
no_anchor_context,10,0.9928568601608276,0.007143139839172363
no_anchor_context,11,0.9903505444526672,0.009649455547332764
no_anchor_context,12,0.9838846325874329,0.01611536741256714
no_anchor_context,13,0.9767758250236511,0.023224174976348877
no_anchor_context,14,0.9751666784286499,0.024833321571350098
no_anchor_context,15,0.9890549182891846,0.01094508171081543
no_anchor_context,16,0.9899775385856628,0.010022461414337158
no_anchor_context,17,0.9862704277038574,0.013729572296142578
no_anchor_context,18,0.9854303598403931,0.014569640159606934
no_anchor_context,19,0.9850908517837524,0.014909148216247559
no_anchor_context,20,0.9805991053581238,0.01940089464187622
no_anchor_context,21,0.9721046686172485,0.027895331382751465
no_anchor_context,22,0.9712229371070862,0.02877706289291382
no_anchor_context,23,0.9724510908126831,0.027548909187316895
no_anchor_context,24,0.9699026942253113,0.03009730577468872
low_anchor,0,,
low_anchor,1,0.9932492971420288,0.006750702857971191
low_anchor,2,0.9959437847137451,0.004056215286254883
low_anchor,3,0.993248462677002,0.006751537322998047
low_anchor,4,0.9925735592842102,0.007426440715789795
low_anchor,5,0.9929134249687195,0.007086575031280518
low_anchor,6,0.9959821105003357,0.004017889499664307
low_anchor,7,0.9968541264533997,0.003145873546600342
low_anchor,8,0.9957013726234436,0.0042986273765563965
low_anchor,9,0.9962478876113892,0.00375211238861084
low_anchor,10,0.9947027564048767,0.005297243595123291
low_anchor,11,0.9884353280067444,0.011564671993255615
low_anchor,12,0.9893507361412048,0.010649263858795166
low_anchor,13,0.9890817403793335,0.010918259620666504
low_anchor,14,0.9917362928390503,0.008263707160949707
low_anchor,15,0.9886707067489624,0.011329293251037598
low_anchor,16,0.9873291850090027,0.012670814990997314
low_anchor,17,0.9742193818092346,0.02578061819076538
low_anchor,18,0.9745082259178162,0.025491774082183838
low_anchor,19,0.963126003742218,0.03687399625778198
low_anchor,20,0.9502477049827576,0.04975229501724243
low_anchor,21,0.9218295216560364,0.07817047834396362
low_anchor,22,0.917934238910675,0.08206576108932495
low_anchor,23,0.9139799475669861,0.08602005243301392
low_anchor,24,0.8943804502487183,0.10561954975128174
high_anchor,0,,
high_anchor,1,0.993215024471283,0.006784975528717041
high_anchor,2,0.9956897497177124,0.004310250282287598
high_anchor,3,0.9928948879241943,0.007105112075805664
high_anchor,4,0.9927201867103577,0.007279813289642334
high_anchor,5,0.9930159449577332,0.006984055042266846
high_anchor,6,0.9961029291152954,0.00389707088470459
high_anchor,7,0.9970508813858032,0.0029491186141967773
high_anchor,8,0.9957305788993835,0.004269421100616455
high_anchor,9,0.9946193099021912,0.005380690097808838
high_anchor,10,0.9913775324821472,0.008622467517852783
high_anchor,11,0.9860032796859741,0.013996720314025879
high_anchor,12,0.9875445365905762,0.012455463409423828
high_anchor,13,0.9872419834136963,0.012758016586303711
high_anchor,14,0.9885883927345276,0.011411607265472412
high_anchor,15,0.9880144596099854,0.011985540390014648
high_anchor,16,0.989532470703125,0.010467529296875
high_anchor,17,0.9815253019332886,0.018474698066711426
high_anchor,18,0.9838531613349915,0.016146838665008545
high_anchor,19,0.9854509234428406,0.014549076557159424
high_anchor,20,0.9812607765197754,0.01873922348022461
high_anchor,21,0.967767059803009,0.03223294019699097
high_anchor,22,0.9622829556465149,0.03771704435348511
high_anchor,23,0.957990288734436,0.042009711265563965
high_anchor,24,0.9483590722084045,0.05164092779159546
