layer,condition,item_id,anchor_score
3,low_anchor,math_004,0.20415684580802917
3,low_anchor,math_005,0.24681729078292847
3,low_anchor,math_006,0.2592396140098572
3,low_anchor,math_007,0.4062620997428894
3,low_anchor,math_008,0.247887521982193
3,low_anchor,math_009,0.24161285161972046
3,low_anchor,math_010,0.2887970805168152
3,high_anchor,math_001,0.21490857005119324
3,high_anchor,math_002,0.20721708238124847
3,high_anchor,math_003,0.2149783819913864
3,high_anchor,math_004,0.21046382188796997
3,high_anchor,math_005,0.2531566619873047
3,high_anchor,math_006,0.2656445801258087
3,high_anchor,math_007,0.411166787147522
3,high_anchor,math_008,0.25296837091445923
3,high_anchor,math_009,0.24614085257053375
3,high_anchor,math_010,0.29489073157310486
4,clean,math_001,-0.06665614247322083
4,clean,math_002,-0.07379452884197235
4,clean,math_003,-0.04031144082546234
4,clean,math_004,-0.08588014543056488
4,clean,math_005,-0.04564466327428818
4,clean,math_006,-0.022452255710959435
4,clean,math_007,0.1922716200351715
4,clean,math_008,0.09562600404024124
4,clean,math_009,0.06153949350118637
4,clean,math_010,-0.014698460698127747
4,no_anchor_context,math_001,0.37213099002838135
4,no_anchor_context,math_002,0.3644363582134247
4,no_anchor_context,math_003,0.3774612545967102
4,no_anchor_context,math_004,0.34874531626701355
4,no_anchor_context,math_005,0.4198419153690338
4,no_anchor_context,math_006,0.44356968998908997
4,no_anchor_context,math_007,0.5088461637496948
4,no_anchor_context,math_008,0.4539929926395416
4,no_anchor_context,math_009,0.4154464900493622
4,no_anchor_context,math_010,0.45763635635375977
4,low_anchor,math_001,0.38772881031036377
4,low_anchor,math_002,0.3798358738422394
4,low_anchor,math_003,0.374307245016098
4,low_anchor,math_004,0.3629230260848999
4,low_anchor,math_005,0.433721661567688
4,low_anchor,math_006,0.4563170373439789
4,low_anchor,math_007,0.5136494636535645
4,low_anchor,math_008,0.36937910318374634
4,low_anchor,math_009,0.34331828355789185
4,low_anchor,math_010,0.4666267931461334
4,high_anchor,math_001,0.3956115245819092
4,high_anchor,math_002,0.3875272274017334
4,high_anchor,math_003,0.38047686219215393
4,high_anchor,math_004,0.3696637749671936
4,high_anchor,math_005,0.4406796097755432
4,high_anchor,math_006,0.46182602643966675
4,high_anchor,math_007,0.5196795463562012
4,high_anchor,math_008,0.37463152408599854
4,high_anchor,math_009,0.348161518573761
4,high_anchor,math_010,0.47431010007858276
5,clean,math_001,-0.0700969398021698
5,clean,math_002,-0.07587353140115738
5,clean,math_003,-0.005378012079745531
5,clean,math_004,-0.09877220541238785
5,clean,math_005,-0.08243121206760406
5,clean,math_006,-0.07127781212329865
5,clean,math_007,0.21269643306732178
5,clean,math_008,0.19600898027420044
5,clean,math_009,0.027230357751250267
5,clean,math_010,-0.032106589525938034
5,no_anchor_context,math_001,0.784022867679596
5,no_anchor_context,math_002,0.7758339643478394
5,no_anchor_context,math_003,0.8289440274238586
5,no_anchor_context,math_004,0.7280371785163879
5,no_anchor_context,math_005,0.7466824054718018
5,no_anchor_context,math_006,0.7654011845588684
5,no_anchor_context,math_007,0.9748938083648682
5,no_anchor_context,math_008,0.9248616695404053
5,no_anchor_context,math_009,0.7576576471328735
5,no_anchor_context,math_010,0.8262101411819458
5,low_anchor,math_001,0.5841770768165588
5,low_anchor,math_002,0.57633376121521
5,low_anchor,math_003,0.5563648343086243
5,low_anchor,math_004,0.5321403741836548
5,low_anchor,math_005,0.6314090490341187
5,low_anchor,math_006,0.6451646089553833
5,low_anchor,math_007,0.60981285572052
5,low_anchor,math_008,0.561336874961853
5,low_anchor,math_009,0.4885144531726837
5,low_anchor,math_010,0.6914742588996887
5,high_anchor,math_001,0.5963535308837891
5,high_anchor,math_002,0.5887557864189148
5,high_anchor,math_003,0.5715737342834473
5,high_anchor,math_004,0.5465269088745117
5,high_anchor,math_005,0.6432631611824036
5,high_anchor,math_006,0.6633217930793762
5,high_anchor,math_007,0.6184463500976562
5,high_anchor,math_008,0.5695309042930603
5,high_anchor,math_009,0.49892234802246094
5,high_anchor,math_010,0.7002657055854797
6,clean,math_001,-0.038959816098213196
6,clean,math_002,-0.03685040771961212
6,clean,math_003,0.02480613999068737
6,clean,math_004,-0.048900626599788666
6,clean,math_005,-0.019522132351994514
6,clean,math_006,-0.01290569081902504
6,clean,math_007,0.09981004148721695
6,clean,math_008,0.061659399420022964
6,clean,math_009,-0.09091858565807343
6,clean,math_010,0.06178135424852371
6,no_anchor_context,math_001,0.8613721132278442
6,no_anchor_context,math_002,0.8595666885375977
6,no_anchor_context,math_003,0.9014061689376831
6,no_anchor_context,math_004,0.8220313191413879
6,no_anchor_context,math_005,0.8717489242553711
6,no_anchor_context,math_006,0.8877009153366089
6,no_anchor_context,math_007,0.9082149863243103
6,no_anchor_context,math_008,0.8885725736618042
6,no_anchor_context,math_009,0.7060918211936951
6,no_anchor_context,math_010,0.9906173944473267
6,low_anchor,math_001,0.7853634357452393
6,low_anchor,math_002,0.7830121517181396
6,low_anchor,math_003,0.7698419094085693
6,low_anchor,math_004,0.7435569763183594
6,low_anchor,math_005,0.8413211107254028
6,low_anchor,math_006,0.8552814722061157
6,low_anchor,math_007,0.6736337542533875
6,low_anchor,math_008,0.6438862681388855
6,low_anchor,math_009,0.5726684331893921
6,low_anchor,math_010,0.9387367963790894
6,high_anchor,math_001,0.7899980545043945
6,high_anchor,math_002,0.7882792949676514
6,high_anchor,math_003,0.7759260535240173
6,high_anchor,math_004,0.7507367730140686
6,high_anchor,math_005,0.8470956087112427
6,high_anchor,math_006,0.8676435947418213
6,high_anchor,math_007,0.6758952140808105
6,high_anchor,math_008,0.6466195583343506
6,high_anchor,math_009,0.5777363777160645
6,high_anchor,math_010,0.9404672384262085
7,clean,math_001,-0.03157223016023636
7,clean,math_002,-0.026434479281306267
7,clean,math_003,0.020722683519124985
7,clean,math_004,-0.054332394152879715
7,clean,math_005,0.042548537254333496
7,clean,math_006,0.03404313698410988
7,clean,math_007,-0.014169758185744286
7,clean,math_008,0.025035899132490158
7,clean,math_009,-0.08542990684509277
7,clean,math_010,0.08958835899829865
7,no_anchor_context,math_001,1.059614896774292
7,no_anchor_context,math_002,1.0565484762191772
7,no_anchor_context,math_003,1.0635119676589966
7,no_anchor_context,math_004,0.9993350505828857
7,no_anchor_context,math_005,1.086039662361145
7,no_anchor_context,math_006,1.0826256275177002
7,no_anchor_context,math_007,0.9294130206108093
7,no_anchor_context,math_008,0.9890145659446716
7,no_anchor_context,math_009,0.8535182476043701
7,no_anchor_context,math_010,1.1472036838531494
7,low_anchor,math_001,0.9515195488929749
7,low_anchor,math_002,0.9509308934211731
7,low_anchor,math_003,0.9225445985794067
7,low_anchor,math_004,0.9030643701553345
7,low_anchor,math_005,1.0262625217437744
7,low_anchor,math_006,1.0242106914520264
7,low_anchor,math_007,0.6504756212234497
7,low_anchor,math_008,0.7145888805389404
7,low_anchor,math_009,0.6793821454048157
7,low_anchor,math_010,1.076412558555603
7,high_anchor,math_001,0.9530895948410034
7,high_anchor,math_002,0.9528509378433228
7,high_anchor,math_003,0.925701379776001
7,high_anchor,math_004,0.9065024852752686
7,high_anchor,math_005,1.0296422243118286
7,high_anchor,math_006,1.0334956645965576
7,high_anchor,math_007,0.6525900363922119
7,high_anchor,math_008,0.7171187400817871
7,high_anchor,math_009,0.6852118372917175
7,high_anchor,math_010,1.0774363279342651
8,clean,math_001,0.016474012285470963
8,clean,math_002,0.005158385261893272
8,clean,math_003,0.017301741987466812
8,clean,math_004,-0.05733427032828331
8,clean,math_005,0.0695948451757431
8,clean,math_006,0.07156252861022949
8,clean,math_007,0.010363247245550156
8,clean,math_008,-0.07933023571968079
8,clean,math_009,-0.15584242343902588
8,clean,math_010,0.10205155611038208
8,no_anchor_context,math_001,1.4116885662078857
8,no_anchor_context,math_002,1.3914732933044434
8,no_anchor_context,math_003,1.363165259361267
8,no_anchor_context,math_004,1.2937562465667725
8,no_anchor_context,math_005,1.3932571411132812
