condition,layer,cka_similarity,cka_distance
no_anchor_context,0,,
no_anchor_context,1,0.9994091987609863,0.0005908012390136719
no_anchor_context,2,0.9989656805992126,0.0010343194007873535
no_anchor_context,3,0.9913163781166077,0.008683621883392334
no_anchor_context,4,0.9897464513778687,0.010253548622131348
no_anchor_context,5,0.9877718091011047,0.012228190898895264
no_anchor_context,6,0.976577639579773,0.02342236042022705
no_anchor_context,7,0.9731031060218811,0.026896893978118896
no_anchor_context,8,0.9687179923057556,0.031282007694244385
no_anchor_context,9,0.9664053320884705,0.03359466791152954
no_anchor_context,10,0.9707005023956299,0.029299497604370117
no_anchor_context,11,0.9719602465629578,0.028039753437042236
no_anchor_context,12,0.9449419379234314,0.055058062076568604
no_anchor_context,13,0.9237501621246338,0.07624983787536621
no_anchor_context,14,0.9044426679611206,0.0955573320388794
no_anchor_context,15,0.8917432427406311,0.1082567572593689
no_anchor_context,16,0.8793594241142273,0.1206405758857727
no_anchor_context,17,0.8571751713752747,0.14282482862472534
no_anchor_context,18,0.8218454718589783,0.17815452814102173
no_anchor_context,19,0.7577371597290039,0.2422628402709961
no_anchor_context,20,0.7365036010742188,0.26349639892578125
no_anchor_context,21,0.7080976366996765,0.2919023633003235
no_anchor_context,22,0.6611716747283936,0.33882832527160645
no_anchor_context,23,0.6402489542961121,0.35975104570388794
no_anchor_context,24,0.6295531988143921,0.3704468011856079
no_anchor_context,25,0.6461918950080872,0.35380810499191284
no_anchor_context,26,0.6478374004364014,0.35216259956359863
no_anchor_context,27,0.6800102591514587,0.31998974084854126
no_anchor_context,28,0.6797419190406799,0.32025808095932007
low_anchor,0,,
low_anchor,1,0.9986912608146667,0.001308739185333252
low_anchor,2,0.998466968536377,0.0015330314636230469
low_anchor,3,0.9892500638961792,0.0107499361038208
low_anchor,4,0.9878262877464294,0.012173712253570557
low_anchor,5,0.9863500595092773,0.013649940490722656
low_anchor,6,0.9773954153060913,0.02260458469390869
low_anchor,7,0.9738969206809998,0.026103079319000244
low_anchor,8,0.9674209952354431,0.032579004764556885
low_anchor,9,0.9701928496360779,0.02980715036392212
low_anchor,10,0.9724308848381042,0.027569115161895752
low_anchor,11,0.9659909605979919,0.03400903940200806
low_anchor,12,0.936760663986206,0.06323933601379395
low_anchor,13,0.8600600957870483,0.13993990421295166
low_anchor,14,0.811273455619812,0.188726544380188
low_anchor,15,0.8246103525161743,0.17538964748382568
low_anchor,16,0.8398825526237488,0.16011744737625122
low_anchor,17,0.8452818393707275,0.15471816062927246
low_anchor,18,0.7936987280845642,0.2063012719154358
low_anchor,19,0.7774416208267212,0.2225583791732788
low_anchor,20,0.7858144640922546,0.21418553590774536
low_anchor,21,0.7772494554519653,0.22275054454803467
low_anchor,22,0.7698782682418823,0.23012173175811768
low_anchor,23,0.7597512602806091,0.24024873971939087
low_anchor,24,0.758159875869751,0.24184012413024902
low_anchor,25,0.7630774974822998,0.2369225025177002
low_anchor,26,0.7579544186592102,0.2420455813407898
low_anchor,27,0.7634475231170654,0.23655247688293457
low_anchor,28,0.7344396114349365,0.2655603885650635
mid_anchor,0,,
mid_anchor,1,0.9986538290977478,0.0013461709022521973
mid_anchor,2,0.9984378814697266,0.0015621185302734375
mid_anchor,3,0.9891676902770996,0.01083230972290039
mid_anchor,4,0.9878204464912415,0.012179553508758545
mid_anchor,5,0.9863464832305908,0.01365351676940918
mid_anchor,6,0.9774013161659241,0.022598683834075928
mid_anchor,7,0.9738901853561401,0.026109814643859863
mid_anchor,8,0.967524528503418,0.03247547149658203
mid_anchor,9,0.9695775508880615,0.030422449111938477
mid_anchor,10,0.9723891615867615,0.027610838413238525
mid_anchor,11,0.9658204913139343,0.034179508686065674
mid_anchor,12,0.9380992650985718,0.06190073490142822
mid_anchor,13,0.8674936890602112,0.13250631093978882
mid_anchor,14,0.828516960144043,0.17148303985595703
mid_anchor,15,0.8295766115188599,0.17042338848114014
mid_anchor,16,0.8377045392990112,0.16229546070098877
mid_anchor,17,0.8365084528923035,0.16349154710769653
mid_anchor,18,0.7641248106956482,0.2358751893043518
mid_anchor,19,0.7379538416862488,0.2620461583137512
mid_anchor,20,0.7144086956977844,0.2855913043022156
mid_anchor,21,0.7097902894020081,0.29020971059799194
mid_anchor,22,0.702742338180542,0.297257661819458
mid_anchor,23,0.6910185217857361,0.3089814782142639
mid_anchor,24,0.6900712251663208,0.3099287748336792
